id,name,category,subCategory,availableQuantity,orderedQuantity,price,maxQuantity,color1,color2,color3,color4,size1,size2,size3,size4,size5,size6,size7
5ff0b509fc13ae631b00000e,Aristocrat 34 Ltrs Blue Laptop Backpack,Accessories,Bags,120,0,473,3,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b00000f,Leather Strap Watch,Accessories,Watches,136,0,544,1,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000010,Analog Black Dial Watch,Accessories,Watches,181,0,637,1,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000011,Sports  digital Dial Watch,Accessories,Watches,109,0,194,3,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000012,Date Men's Watch,Accessories,Watches,104,0,440,3,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000013,Men's Navy Genuine Leather RFID Blocking Wallet,Accessories,Wallets,123,0,556,1,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000014,BP004 Navy Blue Light Weight 31 Ltrs Casual Laptop Backpack,Accessories,Bags,161,0,703,2,19EEBF,19EE1B,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000015,Hike CAMO Rucksack Bag,Accessories,Bags,164,0,427,1,FF5733,C70039,19EED3,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000016,"Mufubu Presents Get Unbarred 55 LTR Rucksack for Trekking, Hiking with Shoe Compartment",Accessories,Bags,125,0,701,3,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000017,Analog Blue Dial Watch,Accessories,Watches,131,0,769,3,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000018,Milestone Laptop Bag for Men,Accessories,Bags,178,0,732,1,19EEBF,19EE1B,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000019,Blue Multi Functional Watch,Accessories,Watches,115,0,623,2,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001a,15.6 Inch Laptop Backpack,Accessories,Bags,166,0,614,1,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001b,Men's Leather Casual Regular Purse Wallet,Accessories,Wallets,154,0,270,3,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001c,Branded Metal Body Square,Accessories,Sunglasses,184,0,197,1,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001d,Matt Finish Club Master Wayfarer,Accessories,Sunglasses,138,0,937,1,696969,FF6347,228B22,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001e,Tony Stark Avengers Infinity War Sunglasseses,Accessories,Sunglasses,145,0,825,1,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00001f,Polarized Aviator Black Sunglasseses,Accessories,Sunglasses,131,0,777,3,696969,FF6347,228B22,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000020,32 Ltrs Black Casual Backpack,Accessories,Bags,156,0,715,1,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000021,Brown leather Strap Watch,Accessories,Watches,160,0,831,1,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000022,Gradient Aviator Men's Sunglasseses,Accessories,Sunglasses,198,0,518,3,696969,FF6347,228B22,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000023,RFID Protected 100% Genuine Leather Wallet,Accessories,Wallets,101,0,135,3,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000024,Dark Blue Men's Wallet,Accessories,Wallets,108,0,268,2,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b000025,UV protected Square Men's Sunglasseses,Accessories,Sunglasses,145,0,618,3,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000026,Analogue Date Watch,Accessories,Watches,186,0,349,2,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000027,Water Resistant Casual Backpack,Accessories,Bags,181,0,703,1,FF5733,C70039,19EED3,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000028,UV Protection Square Metal Body Unisex Sunglasses,Accessories,Sunglasses,148,0,388,2,696969,FF6347,228B22,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000029,Stylish RFID Protected Genuine Leather Wallet,Accessories,Wallets,154,0,185,3,252440,222222,3E322C,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002a,Blue Dial day and date Watch,Accessories,Watches,148,0,344,2,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002b,Blue School Bag with Laptop,Accessories,Bags,191,0,136,3,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002c,UV protected Square Men's Sunglasseses,Accessories,Sunglasses,166,0,385,3,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002d,Black Round Sunglasseses For Men,Accessories,Sunglasses,156,0,570,2,696969,FF6347,228B22,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002e,Noble Blue 32 Ltrs Casual bagpack,Accessories,Bags,187,0,363,2,FF5733,C70039,19EED3,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00002f,Black Men's Wallet,Accessories,Wallets,176,0,699,3,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b000030,Blue Men's Wallet,Accessories,Wallets,170,0,877,1,252440,222222,3E322C,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000031,15.6 Inch Laptop Backpack,Accessories,Bags,172,0,867,3,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000032,Polestar Hero 32 Casual Backpack,Accessories,Bags,175,0,596,2,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000033,F Gear Luxur Laptop Backpack,Accessories,Bags,134,0,373,1,FF5733,C70039,19EED3,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000034,Men's Genuine Leather Wallet ,Accessories,Wallets,156,0,188,3,252440,222222,3E322C,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000035,RFID ProtectedLeather Wallet,Accessories,Wallets,180,0,639,2,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b000036,Anti-Theft Water Resistant Laptop Backpack,Accessories,Bags,138,0,984,2,111188,A6A6A6,464242,1968EE,-,-,-,-,-,-,-
5ff0b509fc13ae631b000037,Black Men's Wallet,Accessories,Wallets,112,0,570,2,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b000038,Protected Genuine High Quality Leather Wallet,Accessories,Wallets,154,0,837,1,252440,222222,3E322C,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b000039,Super Fibre Analog Watch,Accessories,Watches,133,0,356,3,-,-,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00003a,Tony stark style Sunglasseses Original,Accessories,Sunglasses,124,0,888,2,0000CD,FFFFE0,-,-,-,-,-,-,-,-,-
5ff0b509fc13ae631b00003b,Brown Men's Wallet,Accessories,Wallets,107,0,557,1,F2F3F4,555555,543D3F,89A39F,-,-,-,-,-,-,-
5ff0b509fc13ae631b00003c,Cotton Casual Shirt Full Sleeves,Clothing,Shirt,184,0,651,2,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00003d,Cotton Casual Shirt ,Clothing,Shirt,122,0,676,2,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00003e,Slim Fit Jeans,Clothing,Zeans,149,0,434,3,272458,222222,202830,-,28,30,32,34,36,38,40
